Img_name,Var_name,Band_001,Band_002,Band_003,Band_004,Band_005,Band_006,Band_007,Band_008,Band_009,Band_010,Band_011,Band_012,Band_013,Band_014,Band_015,Band_016,Band_017,Band_018,Band_019,Band_020,Band_021,Band_022,Band_023,Band_024,Band_025,Band_026,Band_027,Band_028,Band_029,Band_030,Band_031,Band_032,Band_033,Band_034,Band_035,Band_036,Band_037,Band_038,Band_039,Band_040,Band_041,Band_042,Band_043,Band_044,Band_045,Band_046,Band_047,Band_048,Band_049,Band_050,Band_051,Band_052,Band_053,Band_054,Band_055,Band_056,Band_057,Band_058,Band_059,Band_060,Band_061,Band_062,Band_063,Band_064,Band_065,Band_066,Band_067,Band_068,Band_069,Band_070,Band_071,Band_072,Band_073,Band_074,Band_075,Band_076,Band_077,Band_078,Band_079,Band_080,Band_081,Band_082,Band_083,Band_084,Band_085,Band_086,Band_087,Band_088,Band_089,Band_090,Band_091,Band_092,Band_093,Band_094,Band_095,Band_096,Band_097,Band_098,Band_099,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160,Band_161,Band_162,Band_163,Band_164,Band_165,Band_166,Band_167,Band_168,Band_169,Band_170,Band_171,Band_172,Band_173,Band_174,Band_175,Band_176,Band_177,Band_178,Band_179,Band_180,Band_181,Band_182,Band_183,Band_184,Band_185,Band_186,Band_187,Band_188,Band_189,Band_190,Band_191,Band_192,Band_193,Band_194,Band_195,Band_196,Band_197,Band_198,Band_199,Band_200,Band_201,Band_202,Band_203,Band_204,Band_205,Band_206,Band_207,Band_208,Band_209,Band_210,Band_211,Band_212,Band_213,Band_214,Band_215,Band_216,Band_217,Band_218,Band_219,Band_220,Band_221,Band_222,Band_223,Band_224,Band_225,Band_226,Band_227,Band_228,Band_229,Band_230,Band_231,Band_232,Band_233,Band_234,Band_235,Band_236,Band_237,Band_238,Band_239,Band_240,Band_241,Band_242,Band_243,Band_244,Band_245,Band_246,Band_247,Band_248,Band_249,Band_250,Band_251,Band_252,Band_253,Band_254,Band_255,Band_256
38367,mean,33859.31,34107.26,34253.92,34424.62,34960.15,35552.97,35920.70,36206.10,36719.58,37426.11,37976.55,38350.78,38561.53,38832.74,39228.06,39603.54,39854.79,39873.89,39691.88,39496.37,39350.60,39207.18,38998.29,38626.20,38098.03,37599.75,36988.60,35741.67,34127.27,32001.67,30395.71,29262.60,28603.36,28275.26,28096.37,27983.30,27819.04,27676.00,27574.49,27559.89,27581.69,27649.23,27773.42,27940.26,28109.09,28267.54,28377.70,28472.67,28487.75,28419.42,28301.62,28127.65,27870.89,27529.33,27098.25,26562.20,25930.64,25215.24,24388.44,23458.18,22472.01,21484.71,20508.40,19643.74,18937.86,18350.71,17702.30,16590.30,15103.74,14186.49,12203.15,10668.77,9425.06,8517.44,7816.47,7355.13,7028.76,6816.78,6680.36,6590.93,6543.74,6510.88,6515.26,6604.83,6729.91,6863.19,7028.44,7235.79,7473.67,7701.07,7926.25,8164.91,8383.77,8600.68,8780.40,8959.95,9147.85,9326.68,9508.46,9672.47,9801.65,9934.18,10041.27,10154.44,10265.74,10366.66,10455.79,10535.85,10600.38,10660.05,10714.60,10763.63,10793.47,10810.29,10808.39,10768.30,10706.18,10626.11,10517.98,10391.51,10207.86,10026.91,9892.96,9795.49,9690.97,9530.42,9357.64,9220.24,9073.29,8902.25,8663.20,8425.75,8198.24,8029.82,7898.75,7799.16,7706.01,7634.46,7567.08,7534.70,7413.31,7292.24,7225.54,7043.90,6888.92,6895.54,6562.73,6371.08,6015.99,5504.64,4910.10,4234.05,3349.61,2697.23,2205.37,1895.00,1738.58,1585.68,1504.82,1486.18,1475.80,1471.34,1495.03,1521.72,1566.49,1626.90,1667.48,1712.23,1765.64,1821.50,1889.45,1963.83,2036.88,2119.28,2188.98,2262.00,2315.98,2354.29,2396.30,2438.63,2488.30,2544.21,2588.63,2634.89,2664.65,2698.58,2726.87,2746.03,2773.87,2793.90,2813.15,2850.23,2881.31,2916.38,2947.03,2977.34,3005.59,3007.51,3010.26,3028.63,3025.16,3039.56,3032.77,3028.55,3025.24,3011.91,3014.82,3020.74,3009.90,2999.82,2938.04,2865.63,2783.35,2715.75,2672.11,2609.61,2561.00,2501.81,2438.02,2407.82,2361.52,2313.94,2252.59,2188.77,2127.78,2068.70,1996.54,1949.23,1880.04,1848.96,1795.06,1750.53,1710.48,1659.39,1613.98,1575.71,1521.68,1482.27,1445.63,1400.73,1351.06,1309.97,1277.16,1218.31,1171.32,1145.71,1092.11,1067.78,1046.12,1031.17,1008.43,948.34,924.64,909.74,884.22,877.07
38367,std_dev,7122.75,7173.73,7218.07,7209.98,7260.09,7333.99,7351.17,7340.03,7356.99,7400.54,7461.25,7467.63,7454.74,7449.44,7475.32,7516.80,7554.19,7550.83,7522.73,7483.00,7461.49,7458.60,7474.45,7451.07,7411.87,7384.74,7364.49,7292.51,7250.36,7129.13,7060.60,6967.10,6894.60,6855.15,6832.78,6818.05,6797.53,6783.96,6764.41,6750.17,6734.30,6717.13,6704.92,6694.34,6686.74,6681.74,6677.76,6660.46,6647.72,6612.25,6590.90,6547.46,6505.24,6454.33,6405.06,6345.79,6285.92,6212.68,6129.43,6023.54,5904.04,5771.33,5629.91,5485.72,5370.52,5269.93,5173.84,4956.61,4641.32,4530.20,4084.29,3721.80,3413.58,3163.46,2959.16,2811.06,2705.70,2637.31,2586.58,2552.84,2530.57,2517.46,2516.39,2545.09,2579.08,2617.42,2663.81,2719.77,2785.77,2845.00,2905.26,2962.75,3018.33,3071.77,3108.83,3150.16,3194.29,3235.27,3276.43,3311.26,3341.39,3362.88,3383.31,3403.45,3417.99,3432.96,3441.80,3447.35,3451.73,3453.98,3460.66,3462.67,3457.40,3457.73,3451.31,3438.07,3424.43,3399.20,3374.17,3340.62,3292.94,3239.73,3206.02,3185.14,3163.96,3122.64,3077.48,3035.02,2995.01,2944.32,2882.60,2815.56,2748.95,2705.59,2668.87,2640.37,2615.64,2592.78,2569.17,2550.10,2510.49,2463.83,2441.68,2379.92,2329.95,2331.08,2233.73,2194.72,2103.34,1965.93,1788.83,1608.12,1328.84,1114.25,943.84,819.38,766.54,708.58,674.51,676.87,670.86,672.23,683.07,697.06,715.09,734.88,752.35,769.14,784.11,803.29,827.58,857.16,884.82,907.89,931.82,954.29,972.29,983.64,993.63,1006.71,1025.29,1039.29,1054.37,1070.90,1079.21,1088.02,1095.46,1101.50,1107.39,1109.53,1117.25,1123.87,1130.91,1143.17,1150.48,1158.55,1163.87,1161.19,1156.14,1160.75,1157.01,1156.51,1150.98,1144.90,1133.18,1123.88,1120.24,1119.91,1115.03,1111.41,1089.71,1065.78,1039.06,1019.44,1001.56,988.20,968.50,944.04,926.04,912.03,897.23,879.91,860.30,839.32,820.86,799.58,777.30,757.34,734.47,715.32,693.88,677.25,661.32,641.25,625.24,604.47,583.84,567.40,552.68,532.92,512.46,496.14,471.02,454.36,435.41,418.38,403.45,385.14,373.83,359.87,337.64,325.45,307.29,288.39,278.98,262.88
38368,mean,30172.20,30337.93,30461.57,30564.13,30964.92,31502.64,31781.56,32020.11,32406.46,32991.52,33483.56,33786.02,33977.23,34176.69,34489.56,34823.14,35035.65,35077.84,34934.92,34757.10,34621.50,34505.86,34330.87,34011.09,33574.60,33155.55,32636.63,31560.30,30135.08,28209.11,26714.71,25610.14,24941.08,24581.44,24369.96,24204.30,24002.51,23837.42,23729.76,23705.98,23736.66,23821.91,23932.85,24102.30,24252.91,24415.66,24526.06,24598.55,24615.69,24575.54,24461.56,24319.78,24096.76,23799.18,23406.36,22929.46,22355.87,21704.29,20941.63,20092.51,19177.39,18261.78,17361.72,16585.19,15943.90,15409.28,14810.47,13826.99,12527.96,11682.54,9966.92,8645.15,7615.01,6859.75,6284.58,5891.48,5622.83,5440.19,5320.50,5243.92,5194.92,5155.23,5162.97,5234.51,5316.07,5416.85,5539.91,5695.15,5877.31,6047.46,6222.44,6407.95,6580.09,6753.95,6902.05,7042.39,7192.53,7340.90,7484.52,7620.74,7737.26,7843.79,7939.84,8039.46,8133.79,8213.48,8298.31,8372.71,8432.81,8495.23,8536.57,8588.04,8623.93,8646.89,8647.79,8623.81,8585.62,8521.51,8423.10,8312.32,8150.27,8004.45,7888.13,7816.45,7725.62,7593.14,7449.54,7323.65,7201.93,7050.63,6867.34,6666.47,6479.18,6353.56,6234.65,6149.23,6083.22,6026.17,5979.18,5947.56,5856.54,5767.72,5707.12,5576.10,5463.01,5454.63,5192.59,5035.89,4758.75,4349.24,3879.53,3356.37,2663.35,2157.24,1774.62,1522.61,1399.62,1282.37,1211.29,1200.72,1185.88,1186.16,1204.47,1221.96,1262.23,1295.68,1327.10,1371.01,1404.06,1451.50,1500.38,1551.64,1616.48,1670.20,1726.03,1787.18,1822.06,1859.29,1885.49,1911.89,1954.36,1987.69,2022.08,2056.64,2074.32,2097.08,2117.63,2130.30,2149.39,2164.74,2179.58,2202.49,2221.24,2257.00,2274.08,2300.89,2324.17,2321.54,2325.36,2334.11,2338.11,2348.65,2346.28,2339.28,2327.93,2313.53,2319.04,2323.85,2304.38,2309.14,2253.60,2197.61,2134.28,2069.38,2034.63,1997.57,1947.18,1906.83,1859.80,1832.78,1807.70,1755.95,1725.16,1670.80,1609.21,1573.88,1512.03,1476.04,1429.78,1386.55,1364.60,1326.72,1285.24,1260.81,1219.75,1189.82,1160.65,1119.51,1096.39,1057.37,1012.43,990.77,943.40,914.67,882.91,844.94,818.61,791.55,772.37,749.42,702.77,676.39,647.70,617.49,616.00,597.36
38368,std_dev,6489.84,6528.12,6565.86,6575.57,6605.13,6696.68,6698.73,6695.65,6732.83,6773.40,6827.77,6833.84,6818.81,6824.67,6847.00,6882.17,6912.75,6903.31,6876.62,6839.96,6816.25,6828.91,6828.61,6813.21,6775.01,6744.59,6727.48,6642.92,6574.76,6428.26,6322.58,6206.35,6133.77,6084.67,6054.63,6033.90,6013.27,6002.92,5985.59,5973.22,5970.24,5943.31,5939.32,5927.70,5925.14,5935.93,5930.11,5922.96,5919.22,5891.57,5866.14,5830.16,5793.29,5748.59,5698.47,5632.63,5562.03,5479.81,5399.98,5291.82,5178.42,5056.80,4916.52,4793.58,4686.50,4604.33,4524.30,4327.69,4062.96,3979.81,3602.14,3322.54,3083.27,2897.91,2752.96,2647.60,2576.78,2519.84,2473.38,2451.05,2428.31,2418.60,2423.99,2438.96,2466.71,2490.93,2514.87,2558.44,2600.82,2636.40,2676.61,2712.84,2750.29,2791.28,2818.98,2848.50,2877.55,2903.56,2929.65,2950.32,2975.59,2990.65,3000.01,3013.14,3023.39,3026.77,3033.50,3038.19,3041.84,3041.96,3047.75,3051.80,3046.19,3047.24,3043.13,3027.91,3019.04,3000.67,2974.17,2941.63,2897.56,2860.11,2830.99,2815.31,2797.90,2761.69,2725.60,2685.24,2647.83,2614.46,2565.62,2503.55,2456.72,2419.46,2392.36,2363.88,2342.84,2325.38,2304.34,2294.76,2253.66,2216.55,2193.97,2142.23,2103.68,2113.44,2024.99,1999.24,1936.18,1830.83,1715.51,1587.01,1365.70,1229.08,1120.68,1047.60,1025.74,975.85,953.48,964.70,962.42,959.29,966.85,968.90,975.60,984.60,985.74,985.83,990.36,1001.07,1009.96,1028.69,1044.76,1064.14,1081.05,1100.98,1110.05,1117.83,1119.40,1122.83,1134.39,1145.70,1155.06,1159.44,1160.21,1169.76,1170.38,1168.05,1166.94,1162.54,1163.43,1163.98,1166.16,1173.33,1177.97,1185.62,1182.81,1171.23,1167.89,1161.23,1156.86,1153.04,1143.82,1133.97,1121.11,1115.33,1112.25,1111.80,1113.01,1110.56,1090.66,1072.36,1053.25,1039.64,1026.68,1012.18,1001.16,981.64,959.09,951.88,939.33,926.83,914.89,899.45,874.43,852.57,834.21,822.81,805.23,793.99,787.47,768.95,753.62,732.74,718.72,705.13,688.85,677.48,659.92,646.48,629.67,619.99,600.69,585.65,569.15,555.99,541.69,525.15,513.68,498.92,477.95,455.73,433.52,409.65,389.26,361.77
38369,mean,28906.61,29083.74,29221.06,29342.13,29790.49,30328.75,30596.14,30861.22,31314.95,31888.82,32380.50,32702.12,32891.32,33154.50,33484.94,33819.83,34036.10,34048.71,33900.96,33733.95,33596.77,33482.15,33277.33,32954.92,32476.51,32015.19,31475.91,30378.46,28965.50,27138.33,25744.14,24777.24,24217.91,23932.97,23775.39,23671.38,23516.28,23389.36,23315.44,23299.44,23320.69,23384.92,23494.66,23652.12,23805.36,23950.57,24053.70,24127.48,24149.43,24095.24,23979.44,23858.69,23625.30,23343.45,22981.16,22514.37,21988.50,21368.99,20659.03,19870.73,19017.32,18193.18,17362.12,16613.03,16005.82,15490.12,14935.97,14016.15,12742.25,11952.46,10272.51,8961.63,7921.91,7152.50,6566.69,6184.79,5921.08,5748.27,5640.62,5566.53,5525.09,5498.07,5503.16,5585.79,5695.57,5812.61,5958.49,6150.82,6348.45,6553.00,6749.80,6959.53,7160.11,7338.78,7511.77,7665.59,7823.78,7987.08,8142.24,8288.87,8406.13,8514.46,8612.07,8712.99,8799.27,8895.70,8962.12,9030.21,9093.03,9131.11,9184.84,9221.69,9242.47,9259.08,9248.26,9215.67,9170.12,9095.99,9003.70,8899.69,8737.60,8593.85,8472.02,8391.69,8301.29,8162.41,8014.60,7893.10,7764.41,7617.44,7419.01,7209.48,7017.35,6877.98,6757.87,6671.35,6591.65,6530.31,6474.34,6440.38,6335.95,6227.56,6166.14,6006.71,5862.98,5863.58,5583.23,5410.69,5111.10,4665.63,4140.09,3565.85,2802.46,2234.79,1807.86,1534.55,1403.29,1278.18,1204.49,1200.51,1188.12,1183.10,1205.27,1227.61,1273.03,1325.68,1366.68,1408.32,1455.30,1508.39,1573.71,1636.36,1704.29,1777.93,1846.84,1911.97,1958.89,1997.36,2037.93,2084.50,2130.12,2182.40,2226.37,2267.61,2304.08,2333.76,2361.47,2382.25,2406.47,2432.02,2448.55,2483.59,2513.19,2541.73,2570.82,2599.12,2615.43,2627.92,2631.10,2641.16,2644.02,2652.98,2652.16,2646.14,2632.48,2628.21,2622.23,2629.56,2624.24,2612.86,2559.51,2495.44,2423.05,2374.10,2332.36,2287.73,2239.65,2182.01,2137.56,2103.75,2069.19,2026.34,1962.71,1911.90,1859.24,1813.44,1749.10,1698.99,1639.90,1611.64,1564.36,1525.33,1490.13,1438.10,1401.99,1365.20,1325.24,1289.07,1254.54,1216.10,1184.16,1143.43,1111.01,1060.27,1025.75,995.75,958.07,931.10,917.27,896.53,879.06,841.60,799.39,789.29,771.96,762.62
38369,std_dev,6722.09,6791.49,6831.13,6825.96,6880.99,6967.45,6980.25,6968.60,6983.90,7050.98,7104.95,7110.90,7109.06,7100.09,7135.49,7181.85,7215.96,7222.12,7186.68,7152.29,7135.96,7139.21,7146.59,7128.36,7089.42,7054.64,7028.51,6938.42,6876.36,6741.64,6661.10,6571.70,6500.28,6465.44,6444.07,6426.18,6416.80,6397.09,6381.79,6366.02,6353.90,6330.27,6315.71,6304.25,6298.66,6297.66,6292.36,6279.23,6266.92,6236.21,6208.41,6170.76,6125.05,6077.05,6028.74,5970.15,5901.35,5830.72,5749.86,5656.62,5554.31,5433.29,5301.51,5178.89,5075.98,4987.61,4905.47,4718.52,4435.87,4362.42,3959.82,3637.99,3350.73,3118.58,2923.64,2780.83,2683.95,2621.52,2573.21,2543.83,2524.15,2510.95,2515.62,2540.49,2578.01,2616.61,2663.17,2722.08,2785.37,2846.43,2902.53,2959.88,3012.64,3058.04,3095.56,3130.80,3167.11,3204.55,3241.45,3273.04,3291.94,3313.18,3327.98,3338.34,3350.64,3358.90,3362.33,3364.02,3364.91,3363.23,3364.29,3359.18,3354.87,3345.43,3334.10,3322.48,3303.39,3277.98,3250.28,3221.58,3175.29,3130.96,3098.74,3083.44,3063.11,3024.06,2981.71,2943.35,2905.24,2858.94,2800.94,2740.14,2680.48,2644.13,2608.66,2584.58,2558.03,2533.87,2510.77,2493.62,2448.22,2405.21,2380.77,2317.33,2266.83,2274.37,2181.99,2146.64,2060.40,1934.63,1759.38,1586.02,1296.72,1067.13,880.25,745.14,689.83,634.14,606.98,607.17,600.61,602.50,616.23,630.32,650.73,677.67,698.03,718.69,735.86,759.46,789.51,821.01,850.83,882.36,908.72,936.07,957.69,975.90,988.94,1009.95,1026.39,1048.66,1064.25,1082.35,1093.40,1104.09,1112.77,1118.68,1122.33,1128.21,1134.38,1143.23,1152.73,1165.42,1171.82,1178.04,1181.84,1177.34,1172.16,1171.36,1169.65,1167.77,1159.58,1152.54,1141.86,1136.00,1129.24,1123.73,1122.01,1116.64,1096.19,1067.54,1045.61,1020.92,1007.13,990.95,974.07,955.79,932.52,921.18,908.39,892.36,869.18,854.93,825.90,808.15,777.01,757.14,735.88,716.64,696.19,675.52,660.36,638.29,618.15,602.79,584.61,565.99,545.84,530.06,506.75,488.34,467.41,444.21,422.96,405.83,389.21,373.19,355.71,340.32,324.20,303.78,287.35,267.95,254.63,236.79
38370,mean,32421.52,32647.62,32797.87,32972.54,33436.59,34045.65,34371.50,34647.03,35095.10,35731.00,36300.05,36625.59,36820.51,37061.73,37433.74,37774.07,37999.37,38013.75,37838.93,37654.45,37493.49,37370.23,37149.18,36829.75,36320.71,35874.44,35319.43,34172.21,32675.54,30633.75,29108.39,28013.83,27375.08,27064.74,26893.29,26757.30,26607.06,26460.83,26371.71,26360.47,26359.55,26423.28,26529.58,26657.44,26802.50,26941.36,27035.00,27115.45,27120.87,27050.05,26937.47,26766.63,26505.98,26173.45,25760.14,25246.49,24643.59,23951.52,23169.06,22292.62,21364.71,20456.24,19556.89,18775.87,18169.65,17664.32,17057.84,16015.46,14648.53,13881.45,12043.86,10666.28,9538.66,8690.99,8026.38,7566.07,7252.97,7040.53,6894.07,6800.75,6742.20,6702.25,6708.08,6795.21,6894.92,7022.54,7156.28,7364.13,7574.95,7779.61,7987.86,8193.22,8394.69,8577.34,8734.61,8888.78,9055.62,9217.89,9375.17,9513.59,9627.95,9736.25,9830.85,9928.97,10014.20,10104.52,10174.91,10237.63,10283.42,10334.52,10380.73,10421.80,10435.76,10446.78,10440.88,10409.91,10357.43,10285.64,10196.10,10070.98,9898.26,9736.87,9613.94,9532.31,9435.33,9287.88,9126.79,9000.53,8861.74,8693.67,8474.78,8247.74,8040.80,7887.17,7757.59,7659.36,7580.17,7507.86,7448.38,7412.98,7297.63,7187.87,7127.76,6951.13,6813.49,6820.60,6499.88,6323.55,5998.47,5523.30,4994.41,4360.69,3483.13,2826.28,2307.44,1964.60,1782.49,1616.14,1524.95,1508.09,1486.54,1493.24,1522.31,1555.26,1610.58,1670.93,1719.21,1771.50,1829.33,1890.30,1969.85,2048.30,2129.06,2208.05,2290.43,2364.85,2415.89,2461.67,2500.82,2550.52,2600.11,2655.74,2703.86,2741.28,2781.11,2810.21,2833.21,2859.64,2877.84,2897.98,2915.27,2948.14,2968.07,3013.75,3036.11,3067.12,3086.28,3089.38,3085.18,3097.33,3095.37,3096.89,3096.18,3083.08,3066.01,3063.52,3049.60,3055.58,3047.52,3037.23,2975.74,2907.19,2832.76,2772.42,2718.03,2675.66,2626.53,2561.53,2507.35,2471.25,2433.59,2378.16,2325.75,2263.21,2206.21,2142.47,2069.63,2011.56,1944.28,1916.38,1849.81,1812.16,1764.68,1707.25,1673.19,1622.78,1575.24,1531.08,1493.60,1443.12,1390.28,1348.81,1303.65,1249.40,1207.69,1161.37,1113.61,1093.95,1056.65,1038.74,994.36,945.94,908.89,873.83,861.53,830.30
38370,std_dev,7704.73,7771.87,7824.56,7811.44,7884.44,7973.73,8009.47,8001.61,8039.79,8106.04,8170.70,8200.63,8190.92,8191.76,8220.81,8275.39,8320.39,8318.24,8275.57,8234.11,8215.55,8218.91,8226.84,8201.35,8158.18,8120.80,8082.10,7961.49,7856.48,7656.65,7522.04,7387.42,7295.04,7244.57,7220.13,7198.04,7176.64,7150.14,7144.69,7122.16,7101.95,7087.08,7078.52,7071.07,7065.79,7060.47,7053.33,7047.32,7029.61,6998.10,6975.73,6925.68,6876.59,6809.29,6744.25,6665.14,6573.40,6474.91,6364.96,6239.67,6099.69,5954.48,5794.66,5651.60,5539.87,5449.81,5347.98,5113.10,4796.98,4719.43,4280.91,3963.50,3694.80,3472.96,3278.07,3141.69,3045.77,2980.62,2932.45,2892.72,2870.25,2855.60,2856.35,2881.50,2905.75,2938.97,2972.15,3030.75,3085.10,3133.49,3184.76,3229.84,3273.21,3310.84,3339.78,3373.11,3404.74,3437.52,3473.62,3501.86,3521.62,3537.14,3552.24,3565.21,3574.29,3582.02,3587.60,3589.42,3589.08,3589.43,3588.03,3588.73,3579.10,3574.61,3563.46,3552.88,3536.96,3511.96,3482.18,3446.40,3397.12,3354.99,3320.24,3300.31,3277.82,3237.89,3192.89,3152.00,3114.93,3068.54,3005.12,2938.86,2881.01,2841.31,2801.34,2772.57,2753.16,2723.90,2698.37,2686.36,2641.92,2597.49,2577.33,2513.53,2469.68,2474.75,2372.85,2329.72,2254.97,2126.10,1975.43,1807.00,1518.45,1302.40,1120.63,980.56,913.35,843.63,805.21,801.12,798.68,801.50,818.36,835.98,860.20,887.27,904.96,926.07,942.89,967.43,995.09,1029.09,1056.21,1089.68,1118.63,1145.99,1160.18,1170.65,1183.05,1198.37,1217.45,1238.71,1251.31,1267.36,1272.39,1281.70,1284.58,1290.74,1292.69,1294.79,1300.55,1304.16,1311.91,1321.09,1328.70,1331.97,1335.44,1326.64,1317.41,1316.53,1309.20,1306.97,1298.59,1289.55,1270.44,1264.40,1256.90,1250.28,1249.46,1240.81,1219.40,1196.16,1169.33,1150.21,1135.30,1126.49,1107.10,1088.57,1066.75,1052.40,1036.16,1019.04,1000.28,986.59,963.82,941.70,913.24,890.69,865.91,844.86,824.22,804.55,784.05,764.98,744.38,725.01,706.48,687.93,669.39,645.74,621.62,599.91,579.81,555.61,534.09,515.78,496.62,479.06,457.25,440.94,413.23,391.91,369.89,349.53,328.07,306.15
38371,mean,29320.41,29456.77,29543.28,29632.45,30038.24,30498.13,30750.31,30976.29,31354.52,31893.49,32334.06,32623.08,32774.00,32985.90,33294.26,33598.86,33793.00,33815.11,33673.08,33506.36,33395.51,33276.56,33085.00,32804.14,32350.02,31958.97,31476.86,30483.34,29189.13,27437.48,26091.47,25095.94,24462.38,24122.81,23913.11,23759.39,23566.42,23397.91,23282.32,23244.34,23234.47,23298.21,23412.45,23551.57,23704.26,23835.73,23924.21,23999.17,23998.95,23947.80,23848.31,23715.50,23501.84,23237.75,22900.07,22471.85,21959.47,21378.65,20696.67,19931.66,19103.49,18289.32,17481.41,16764.92,16216.77,15746.60,15200.81,14261.71,13052.11,12344.24,10684.54,9429.71,8396.97,7624.18,7011.64,6600.51,6312.60,6113.72,5967.08,5890.30,5831.45,5792.02,5797.71,5861.01,5951.19,6053.03,6177.63,6347.38,6527.54,6706.64,6882.71,7058.51,7230.01,7393.09,7523.16,7658.78,7799.92,7942.83,8072.03,8189.30,8284.32,8373.04,8454.11,8537.42,8613.10,8691.92,8749.42,8808.05,8850.63,8898.61,8938.66,8977.79,8993.09,9009.91,9003.72,8975.89,8926.81,8858.00,8775.18,8659.02,8498.10,8336.95,8225.37,8145.21,8061.43,7933.66,7797.08,7694.43,7570.50,7430.73,7238.84,7047.19,6868.69,6736.53,6631.04,6551.38,6483.27,6425.84,6383.94,6358.31,6259.88,6167.26,6117.39,5972.24,5857.21,5873.06,5606.26,5451.11,5169.31,4760.24,4298.82,3747.94,2993.18,2426.71,1976.19,1672.52,1514.76,1372.14,1286.40,1265.74,1250.13,1251.88,1270.59,1302.13,1348.77,1400.74,1442.51,1492.40,1542.60,1599.14,1664.05,1729.34,1802.60,1863.85,1940.59,2003.08,2047.32,2085.30,2112.79,2157.52,2198.67,2246.24,2285.04,2321.87,2349.49,2379.62,2396.11,2408.89,2432.88,2445.38,2460.18,2483.78,2510.79,2545.52,2563.38,2593.91,2602.50,2615.16,2612.08,2628.94,2630.02,2633.97,2639.36,2630.66,2616.38,2615.16,2612.31,2608.96,2606.82,2594.93,2548.00,2480.53,2410.87,2363.49,2310.07,2276.64,2224.96,2173.10,2124.38,2095.24,2063.11,2015.34,1967.94,1914.17,1863.36,1810.99,1747.99,1699.86,1651.01,1626.55,1567.76,1539.37,1498.43,1452.57,1416.26,1381.42,1344.51,1306.43,1265.96,1228.88,1181.00,1148.06,1118.52,1062.74,1022.03,989.95,950.15,928.90,895.34,889.03,839.34,816.39,778.70,754.60,740.38,715.73
38371,std_dev,6594.84,6639.21,6669.90,6658.72,6708.96,6784.36,6796.07,6778.44,6787.05,6850.60,6892.11,6903.76,6875.64,6861.21,6889.82,6923.23,6959.79,6951.26,6924.31,6881.25,6878.76,6874.12,6876.86,6854.19,6816.60,6799.42,6769.86,6686.70,6622.06,6477.88,6380.05,6276.95,6189.59,6124.29,6105.68,6080.71,6056.71,6028.38,6005.17,5983.40,5974.04,5953.92,5938.03,5933.78,5933.99,5936.59,5928.16,5921.33,5902.90,5882.47,5853.90,5813.74,5769.57,5719.14,5674.04,5612.15,5541.45,5467.65,5380.21,5275.01,5155.22,5034.10,4884.30,4758.63,4676.15,4591.56,4497.26,4302.88,4040.65,3957.86,3590.40,3315.09,3080.58,2898.53,2740.51,2617.29,2530.87,2475.53,2426.21,2403.28,2375.82,2369.50,2365.29,2381.82,2399.09,2413.20,2444.16,2487.31,2525.44,2561.75,2599.88,2643.31,2675.55,2705.18,2724.28,2749.40,2780.22,2804.59,2832.63,2850.97,2866.79,2879.10,2884.93,2896.22,2909.51,2919.10,2924.39,2923.12,2924.20,2925.64,2927.31,2927.99,2924.84,2923.43,2912.98,2907.97,2890.67,2874.06,2848.97,2816.43,2775.58,2734.16,2707.35,2687.14,2672.26,2636.78,2598.82,2568.33,2535.58,2494.09,2442.43,2388.92,2337.40,2309.63,2283.25,2260.19,2237.60,2220.10,2208.02,2195.23,2157.69,2123.42,2106.37,2052.16,2017.16,2032.42,1951.24,1916.65,1852.80,1752.76,1635.72,1501.49,1273.23,1118.95,990.34,889.82,845.19,785.62,752.20,752.49,746.22,745.83,752.83,768.65,790.04,805.74,815.64,826.63,835.95,857.43,875.55,895.98,917.17,936.72,956.25,971.64,984.00,983.97,985.37,998.07,1013.45,1025.15,1031.61,1044.08,1048.64,1055.88,1051.33,1054.55,1054.87,1055.27,1056.36,1053.46,1058.73,1066.09,1071.96,1075.67,1071.28,1075.51,1072.03,1069.70,1065.32,1064.85,1055.32,1047.01,1033.82,1029.93,1025.95,1023.68,1025.09,1018.33,1006.44,980.28,957.13,940.77,932.64,926.08,908.69,895.93,876.23,868.76,858.00,839.46,822.01,813.48,799.99,777.04,753.43,730.09,714.93,701.88,687.79,673.55,656.16,641.56,625.68,619.83,598.47,582.45,565.29,550.05,533.52,519.16,502.59,483.00,467.34,451.58,436.31,421.22,405.68,390.02,370.04,356.94,335.84,324.24,302.43,286.71
