Img_name,Var_name,Band_001,Band_002,Band_003,Band_004,Band_005,Band_006,Band_007,Band_008,Band_009,Band_010,Band_011,Band_012,Band_013,Band_014,Band_015,Band_016,Band_017,Band_018,Band_019,Band_020,Band_021,Band_022,Band_023,Band_024,Band_025,Band_026,Band_027,Band_028,Band_029,Band_030,Band_031,Band_032,Band_033,Band_034,Band_035,Band_036,Band_037,Band_038,Band_039,Band_040,Band_041,Band_042,Band_043,Band_044,Band_045,Band_046,Band_047,Band_048,Band_049,Band_050,Band_051,Band_052,Band_053,Band_054,Band_055,Band_056,Band_057,Band_058,Band_059,Band_060,Band_061,Band_062,Band_063,Band_064,Band_065,Band_066,Band_067,Band_068,Band_069,Band_070,Band_071,Band_072,Band_073,Band_074,Band_075,Band_076,Band_077,Band_078,Band_079,Band_080,Band_081,Band_082,Band_083,Band_084,Band_085,Band_086,Band_087,Band_088,Band_089,Band_090,Band_091,Band_092,Band_093,Band_094,Band_095,Band_096,Band_097,Band_098,Band_099,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160
38367,mean,364.42,351.9,355.18,351.7,366.51,379.43,380.94,402.13,420.86,449.89,477.25,517.43,552.32,587.14,617.9,642.92,664.68,690.17,727.02,764.07,806.09,831.04,874.88,929.66,999.31,1079.06,1181.55,1317.43,1478.5,1655.25,1864.18,2087.41,2320.38,2514.38,2692.59,2850.63,2962.98,3081.59,3203.06,3307.26,3400.44,3460.84,3479.78,3505.38,3483.26,3413.7,3376.91,3356.17,3326.1,3316.94,3322.27,3337.46,3373.57,3420.44,3441.39,3414.19,3374.6,3344.45,3318.73,3298.46,3339.95,3394,3380.96,3335.07,3266.32,3148.79,3018.08,2963.64,2905.95,2806.53,2664.65,2511.7,2414.81,2400.4,2423.58,2500.87,2740.58,3276.72,4116.27,5129.41,6222.51,7314,8297.08,9195.58,10068.48,10896.8,11775.66,12688.8,13597.94,14475.19,15241.42,15871.75,16496.93,17046.62,17412.78,17635.92,17768.8,17793.41,18172.53,18548.19,18675.93,18770.17,18920.05,19167.44,19365.59,19457.51,19484.72,19514.17,19676.17,19911.72,20061.2,20055.69,19975.83,20114.41,20210.45,20399.44,20483.1,20573.24,20722.87,20825.42,20927.21,20897.62,20901.37,21024.03,21239.23,21408.06,21411.54,21391.94,21324.29,21406.05,21619.92,21820.08,21896.93,21856.06,21601.69,21501.73,21648.83,21868.35,21979.22,22052.7,21981.81,21934,21835.75,21678.32,21525.02,21443.35,21341.56,21060.04,20790.68,20536.27,20294.89,20081.92,19895.5,19764.23,19722.27,19688.45,19783.16,19889.86,20108.48,19968.01
38367,std_dev,251.48,227.99,217.59,216.41,214.44,223.06,223.5,236.24,247.43,264.11,281.61,301.06,323.78,341.5,356.84,371.18,387.1,401.83,423.61,445.55,467.98,483.49,506.73,534.62,569.24,609.24,655.55,716.78,787.1,862,951.68,1040.74,1133.72,1212.58,1281.01,1345.11,1394.69,1443.2,1494.75,1543.89,1586.81,1620.96,1635.14,1655.06,1658.6,1643.26,1642.5,1643.98,1641.4,1646.28,1662.53,1674.51,1695.8,1721.16,1740.98,1737.51,1728.33,1728.29,1724.7,1723.67,1752.66,1785.35,1779.98,1774.88,1756.16,1719.22,1667.93,1657.2,1638.92,1606.3,1548.71,1490.25,1453.72,1458.75,1470.86,1504.25,1612.49,1843.41,2171.37,2530.76,2890.16,3204.65,3461.7,3674.68,3876.15,4051.46,4215.91,4389.62,4556.88,4704.52,4810.82,4896.13,4999.76,5075.32,5122.34,5127.16,5138.26,5174.68,5234.97,5280.41,5302.38,5298.29,5324.78,5382.18,5426.72,5441.02,5443.69,5446.1,5475.13,5519.48,5555.82,5570.91,5562.68,5584.36,5606.11,5640.19,5673.29,5694.48,5727.82,5748.42,5747.58,5750.04,5754.39,5772.77,5825,5857.99,5841.36,5849.87,5841.36,5852.42,5913.1,5933.37,6002.32,5977.61,5921.24,5933.64,5961.1,6016.22,6065.14,6104.07,6101.56,6057.94,6073.11,6071.82,6061.46,6117.9,6107.28,6088.7,6083.27,6103.07,6156.9,6148.19,6155.65,6138.17,6167.21,6145.14,6194.2,6228.19,6296.6,6326.51
38368,mean,401.69,399.24,388.89,390.64,396.82,398.97,401.73,427.4,445.47,472.65,499.33,534.29,569.59,599.05,632,654.66,681.12,707.84,742.63,780.3,820.52,847.31,891.91,944.36,1016.07,1102.89,1215.77,1366.64,1546.4,1754.44,1997.48,2263.77,2539.44,2766.14,2979.27,3161.19,3293.97,3442.15,3581.36,3708.05,3815.33,3889.26,3909.86,3938.86,3912.71,3824.4,3767.92,3730,3684.2,3671.31,3671.25,3680.84,3715.27,3764.63,3778.81,3729.78,3660.95,3607.57,3561.24,3523.72,3554.23,3610.16,3595.45,3535.57,3448.72,3306.32,3146.22,3066.91,2978.93,2841.5,2655.61,2477.88,2368.89,2357.24,2396.55,2493.57,2762.53,3379.73,4392.85,5664.11,7039.76,8369.24,9531.16,10557.75,11558.26,12493.72,13466.01,14443.03,15410.59,16295.83,17056.34,17675.14,18262.55,18782.18,19117.27,19302.34,19440.44,19519.65,19863.98,20171.19,20276.01,20349.79,20504.35,20740.76,20961.49,21044.91,21054.05,21089.68,21240.94,21468.45,21636.1,21619.65,21562.62,21667.57,21785.08,21966.68,22030.24,22106.6,22215.12,22337.78,22393.39,22358.53,22356.62,22475.61,22708.03,22842.26,22825.98,22817.92,22744.04,22781.33,23014.98,23196.96,23286.8,23201.27,22970.09,22846.09,22975.54,23182.37,23312.75,23371.64,23293.81,23231.31,23063.36,22940.43,22801.19,22755.18,22574.02,22290.7,22052.98,21683.82,21366.57,21070.72,20821.85,20644.56,20549.09,20485.94,20535.2,20616.93,20816.72,20759.69
38368,std_dev,228.45,196.58,185.42,181.78,183.49,184.68,186.77,202.66,208.45,223.77,237.21,250.84,262.52,276.11,290.56,300.26,311.27,326.82,341.22,356.94,372.82,385.35,403.21,420.42,445.54,474.92,511.76,559.77,613.05,675.67,745.68,825.7,905.02,968.29,1031.39,1083.12,1123.81,1170.91,1214.02,1252.62,1288.59,1313.08,1324.94,1345.64,1349.13,1335.57,1331.2,1331.23,1326.38,1334.19,1342.55,1350.8,1365.66,1385.08,1398.45,1391.53,1380.61,1374.62,1367.58,1362.46,1382.47,1400.29,1404.69,1395.66,1382.56,1348.15,1307.55,1290.07,1271.9,1232.92,1175.23,1124.84,1094.09,1099.68,1117.27,1143.43,1226.09,1418.54,1711.63,2040.87,2364.63,2642.35,2858.82,3029.24,3186.8,3316.31,3443.52,3552.81,3656.17,3756.83,3822.54,3878.4,3921.22,3968.95,3984.37,3974.77,3976.61,3988.22,4032.64,4058.24,4056.49,4068.85,4083.73,4114.5,4139.02,4160.5,4140.96,4139.73,4167.02,4210.15,4231.26,4220.1,4206.42,4221.95,4251.53,4283.69,4294.87,4310.1,4318.71,4336.74,4330.04,4339.74,4317.16,4342.91,4389.66,4427.93,4396.84,4390.23,4376.86,4402.39,4436.78,4472.49,4492.93,4490.6,4436.03,4398.62,4440.75,4514.85,4533.66,4551.95,4553.12,4518.5,4524.17,4544.17,4515.47,4556.84,4568.97,4564.87,4554.56,4542.77,4570.57,4564.95,4571.54,4565.72,4568.29,4572.45,4567.25,4611.3,4628.58,4790.75
38369,mean,439.95,447.82,447.28,458.13,469.16,485.18,494.74,531.76,556.18,585.28,624.21,667.75,711.07,752.38,786.49,816.4,849.6,881.2,926.21,972.64,1022.62,1051.07,1102.54,1163.37,1238.08,1327.68,1436.41,1582.41,1752.65,1946.32,2174.44,2430.53,2691.97,2912.33,3118.68,3298.46,3427.4,3568.3,3708.37,3828.18,3936.72,4004.48,4018.51,4049.38,4021.57,3936.68,3892.41,3865.04,3824.68,3816.08,3823.95,3841.52,3884.06,3940.23,3960.92,3916.67,3861.98,3824.17,3796.42,3760.84,3805.42,3870.07,3860.38,3817.59,3761.96,3650.46,3512.8,3449.67,3376.84,3255.54,3088.4,2930.38,2825.72,2816.45,2847,2923.18,3155.93,3702.4,4574.65,5662.97,6877.92,8120.43,9273.54,10344.63,11408.86,12428.06,13516.02,14632.63,15762.38,16836.83,17768.68,18519.55,19268.43,19921.59,20340.38,20610.98,20768.59,20809.45,21245.6,21649.31,21782.28,21876.85,22044.49,22313.49,22551.85,22653.64,22670.25,22693.04,22876.73,23126.95,23318.39,23298.95,23210.85,23327.15,23463.47,23663.31,23741,23841.93,23977.55,24122.62,24223.1,24146.01,24168.09,24280.12,24558.09,24701.37,24708.13,24671.54,24600.53,24647.5,24899.25,25141.04,25222.76,25160.76,24858.96,24744.45,24902.15,25115.32,25314.8,25350.51,25273.21,25236.72,25040.51,24894.95,24698.19,24622.35,24474.13,24148.27,23906.02,23546.26,23253.05,23006.26,22767.27,22566.58,22562.42,22538.71,22512.02,22705.97,22975.21,22834.78
38369,std_dev,292.53,275.42,264.16,262.96,269.94,281.73,285.26,304.15,319.19,338.85,359.53,381.96,407.24,427.37,448.03,464.83,484.55,502.84,528.71,551.22,581.31,597.04,622.28,653.35,689.01,729.75,777.47,838.92,901.97,978.81,1067.78,1158.61,1250.96,1326.71,1401.75,1464.31,1517.37,1569.48,1625.84,1674.31,1719.26,1755.35,1774.18,1798.67,1807.34,1791.46,1795.34,1800.3,1795.41,1809.17,1828.31,1844.25,1874.52,1898.18,1918.08,1912.3,1904.95,1904.25,1904.41,1895.75,1925.43,1959.17,1959.33,1958.01,1955.65,1926.31,1878.22,1864.61,1842.42,1804.84,1741.44,1684.97,1648.23,1654.11,1674.82,1706.49,1807.82,2030.4,2353.86,2704.11,3043.28,3355.87,3608.55,3809.84,3988.12,4151.14,4291.67,4434.26,4575.2,4686.82,4766.96,4816.89,4876.26,4936.83,4937.13,4933.21,4942.6,4973.65,5036.47,5045.73,5063.23,5057.49,5104.33,5144.58,5171.15,5199.51,5191.05,5188.38,5218.69,5259.46,5316.48,5299.98,5290.16,5298.28,5343.51,5374.02,5401.55,5409.54,5436.32,5466.63,5457.92,5447.45,5454.81,5488.62,5537.14,5574.47,5555.81,5534.22,5537.41,5534.03,5604.53,5682.98,5692.06,5649.23,5637.89,5623.48,5670.4,5678.24,5770.18,5796.45,5789.21,5797.31,5760.16,5785.54,5848.55,5847.79,5852.04,5851.67,5870.44,5877.17,5916.23,5990.17,6026.27,6040.16,6010.43,6038.98,6029.12,6110.51,6069.97,6195.07
38370,mean,443.4,432.23,423.2,421.79,431.85,435.81,439.41,466.77,486.18,517.21,554.35,605.9,656.92,695.66,733.27,763.48,790.2,820.71,866.6,910.26,962.01,999.96,1056.96,1132.35,1228.26,1350.04,1502.92,1708.29,1950.68,2226.74,2540.39,2875.08,3213.54,3501.69,3754.01,3978.1,4131.94,4295.46,4468.47,4613.46,4743.71,4824.1,4842.06,4864.15,4822.11,4711.98,4644.01,4600.97,4547.75,4525.55,4528.8,4535.37,4580.6,4643.39,4659.84,4605.88,4533.24,4482.49,4435.52,4395.78,4444.42,4517.5,4492.01,4408.19,4290.61,4093.73,3877.21,3780.97,3683.03,3521.21,3279.73,3052.91,2901.2,2878.8,2931.75,3077.59,3478.34,4324.06,5657.12,7246.17,8914.26,10522.95,11938.91,13179.03,14378.98,15489.3,16674.15,17866.81,19040.78,20148.83,21108.23,21869.02,22640.22,23315.42,23720.79,23975.76,24130.01,24149.75,24611.04,25059.87,25204.57,25310.07,25458.06,25770.22,26049.92,26158.23,26164.45,26183.54,26369.44,26652.96,26897.24,26876.33,26760.98,26921.57,27062.33,27301.12,27397.34,27508.73,27680.82,27820.73,27932.57,27885.14,27890.85,28054.5,28344.35,28557.39,28539.44,28520.01,28445.69,28516.51,28843,29110.48,29182.1,29083.59,28818.2,28612.13,28854.67,29129.02,29311.95,29433.53,29354.82,29300.07,29122.56,28933.76,28809.52,28665.79,28547.24,28243.36,27907.25,27555.44,27249.72,26955.43,26674.01,26552.93,26502.05,26434.97,26510.76,26766.22,26926.58,27018.06
38370,std_dev,268.08,247.21,217.54,213.85,213.47,216.21,218.78,229.49,238.03,255.79,273.53,295.07,316.81,337.37,354.13,370.97,386.05,402.93,423.56,445.92,468.25,489.22,513.52,545.94,582.46,631.24,684.03,758.68,838.61,925.68,1025.39,1120.65,1222.92,1304.97,1378.73,1447.38,1496.8,1547.37,1599.91,1650.12,1695.66,1731.72,1748.99,1766.57,1770,1756.62,1756.24,1763.08,1758.31,1765.15,1785.76,1793.42,1823.25,1850.61,1869.12,1862.06,1858.14,1863,1863.11,1859.39,1889.45,1926.08,1925.39,1912.67,1898.08,1856.28,1795.95,1777.72,1760.06,1725.26,1657.91,1591.16,1537.64,1533.95,1564.75,1615.37,1749.29,2043.28,2436.76,2844.78,3207.89,3519.37,3753.71,3942.62,4125.89,4284.96,4456.24,4606.01,4765.3,4897.12,5004.23,5089.5,5177.49,5247.17,5284.51,5279.07,5314.93,5341.36,5420.88,5460.79,5489.55,5504.44,5505.09,5559.07,5606.6,5634.81,5610.67,5613,5661.81,5735.08,5769.01,5769.34,5748.05,5767.98,5823.86,5847.35,5879.82,5912.76,5938.67,5951.88,5972.18,5960.96,5955.34,6004.18,6061.74,6098.05,6099.38,6091.23,6102.91,6098.89,6166.18,6240.35,6253.09,6221.76,6202.37,6176.75,6215.18,6320.08,6338.65,6379.56,6406.22,6396.84,6342.34,6374.69,6384.35,6412.47,6494.8,6465.23,6398.39,6530.24,6575.16,6589.59,6601.93,6637.93,6624.05,6624.8,6667.43,6695.75,6772.34,6973.28
38371,mean,468.22,453.31,446.54,430.26,433.05,438.71,440.63,463.22,478.3,510.8,544.81,580.42,623.66,656.85,693.16,721.15,746.27,778.04,819.02,864.16,909.76,943.32,996.19,1061.28,1142.8,1247.38,1381.14,1558.94,1772.79,2018.8,2308.04,2618.23,2940.21,3207.22,3458.45,3676.89,3829.05,3998.09,4165.17,4313.71,4442.76,4527.11,4555.32,4592.87,4566.05,4461.21,4405.69,4365.99,4314.35,4298.74,4301.52,4312.84,4355.06,4415.66,4432.64,4380.92,4310.14,4258.03,4219.28,4172.91,4215.31,4284.8,4263.21,4184.65,4072.23,3897.74,3706.59,3619.14,3531.74,3373.19,3151.07,2935.46,2807.67,2789.23,2834.7,2959.42,3304.88,4059.65,5279.81,6773.84,8396.65,9973.89,11370.35,12634.49,13833.03,14969.24,16160.57,17364.43,18540.47,19655.68,20612.25,21379.91,22123.54,22799.24,23217.97,23461.86,23662.77,23781.63,24236.26,24647.9,24785.83,24894.7,25073.82,25398.31,25668.86,25798.9,25817.45,25853.09,26059.54,26346.91,26575.76,26573.98,26490.71,26650.27,26781.77,27032.45,27121.02,27224.55,27417.03,27528.74,27631.01,27602.53,27610.07,27785.35,28084.51,28307.34,28302.39,28281.42,28177.14,28257.7,28548.21,28831.96,28946.81,28838.93,28538.78,28378.73,28593.26,28842.45,29046.49,29105.01,29023.93,28941.51,28750.22,28612.65,28490.47,28421.65,28234.6,27864.05,27560.05,27127.26,26817.32,26482.58,26202.35,25971.46,25872.18,25854.4,25878.32,26040.56,26232.13,26332.7
38371,std_dev,240.66,208.51,197.28,187.71,188.86,182.89,185.81,195.74,207.87,219.23,232.55,250.29,267.02,282.03,297.65,308.87,319.03,334.03,353.68,371.88,391.08,404.07,425.89,448.92,479.71,515.04,558.73,614.76,679.57,750.42,836.07,922.74,1010.24,1082.42,1153.62,1213.3,1255.03,1301.21,1350.42,1392.64,1430.88,1459.73,1474.34,1493.16,1495.2,1474.55,1473.85,1472,1466.92,1477.99,1488.72,1495.46,1510.73,1539.84,1551.5,1546.21,1534.97,1532.49,1537.38,1526.36,1550.72,1578.57,1579.73,1568.81,1546.85,1514.22,1469.7,1457.28,1442.59,1396.69,1341.75,1286.71,1256.18,1258.86,1279.52,1323.33,1427.06,1646.35,1965.2,2311.29,2644.4,2929.11,3155.08,3331.55,3479.96,3610.49,3733.71,3839.86,3945.53,4043.79,4121.35,4154.78,4209.87,4251.91,4264.62,4250.18,4249.06,4285.54,4311.78,4343.45,4343.34,4353.39,4362.1,4403.53,4441.03,4441.29,4432.27,4424.37,4440.99,4484.07,4508.08,4508.29,4499.34,4520.73,4522.57,4566.46,4581.11,4619.48,4624.97,4655.39,4640.16,4642.28,4641.51,4667,4717.76,4754.15,4738.09,4721.68,4693.88,4718.45,4784.59,4811.05,4861.06,4844.71,4788.16,4778.06,4842.04,4891.82,4931.94,4958.09,4950.85,4977.48,4962.6,4937.16,4987.81,5043.71,5069.48,5094.58,5131.74,5138.35,5213.68,5239.83,5281.91,5312.72,5315.64,5354.87,5368.71,5381.03,5417,5534.88
