Barcode,Print Info,Variety ID,Variety,Batch,Sample #,Extraction date,Measurement Date,Glucose,Fructose,Sucrose,Raffinose,1-Kestose,Maltose,Nystose,"1,1,1-Kestopentaose",Total Fructan
38368,Cabaret-R1_L1P3,26,Cabaret,1,1,20180118,20180129,0.526,0.389,14.1397,6.9578,2.2978,0.6074,0.8382,0.069,7.2098
38369,Hassan-R1_L1P4,73,Hassan,1,2,20180118,20180129,0.4859,0.3648,11.2474,5.2362,2.4178,0.498,1.3786,0.2214,8.311
38370,Goldie-R1_L1P5,66,Goldie,1,3,20180118,20180129,0.8784,0.8297,13.1672,7.7565,3.3678,1.2678,2.2351,1.1188,14.6028
38371,Foxtrot-R1_L1P6,61,Foxtrot,1,4,20180118,20180129,0.2633,0.2622,6.5676,4.6418,1.0702,0.2225,0.262,0.1631,3.2343
38372,check 3-R1_L1P7,103,Mundah,1,5,20180118,20180129,0.5243,0.3051,11.9172,5.373,2.6397,0.8873,0.5425,0.1852,6.9215
38374,Extract-R1_L1P9,55,Extract,1,6,20180118,20180129,0.6114,0.4913,11.2841,4.5749,2.0705,0.7132,1.5353,0.6373,9.0696
38373,Roxana-R1_L1P8,124,Roxana,1,7,20180118,20180129,0.5532,0.5901,10.5151,7.196,2.1329,0.7392,0.9485,0.1213,6.4091
38376,Velvet-R1_L1P11,152,Velvet,1,8,20180118,20180129,0.9331,1.0467,13.7581,5.2965,3.7651,0.6034,2.563,1.1333,17.571
38377,Prisma-R1_L1P12,115,Prisma,1,9,20180118,20180129,0.564,0.4895,10.0859,6.8276,1.6431,1.6731,0.9399,0.1481,6.9668
38378,Ida-R1_L1P13,82,Ida,1,10,20180118,20180129,0.3368,0.4329,11.3415,6.227,1.9679,0.5829,0.567,0.3932,6.0166
38379,Sj christina-R1_L1P14,133,Sj christina,1,11,20180118,20180129,0.4154,0.4923,10.9123,7.7781,2.289,0.5446,1.3282,0.7158,9.2284
38380,Astoria-R1_L1P15,14,Astoria,1,12,20180118,20180129,0.1931,0.2274,11.0573,6.1418,2.0682,0.9375,0.7466,0.4209,6.1391
38381,Wren-R1_L1P16,158,Wren,1,13,20180118,20180129,0.2741,0.229,9.8215,5.7444,2.3106,0.9933,0.3457,0.1154,6.3557
38382,Keops-R1_L1P17,87,Keops,1,14,20180118,20180129,0.2011,0.2296,9.3047,5.8451,1.888,0.7605,0.1669,0.1045,4.2988
38383,Maypole-R1_L1P18,98,Maypole,1,15,20180118,20180129,0.1883,0.2126,10.9523,7.2133,2.5922,1.2483,0.0792,0.035,5.4907
38384,Cambrinus-R1_L1P19,29,Cambrinus,1,16,20180118,20180129,0.1836,0.2764,11.2067,6.1022,2.7261,0.9931,0.4963,0.261,6.8855
38375,Viivi-R1_L1P10,153,Viivi,1,17,20180118,20180129,0.4038,0.3448,9.6799,5.46,2.1311,0.9649,0.8546,0.6713,7.613
